Yr,Mes,Mujer,Hombre
1946,5,9,6
1946,6,9,6
1946,7,9,6
1946,8,1,2
1946,9,1,2
1946,10,1,2
1946,11,1,2
1946,12,1,2
1947,1,1,2
1947,2,1,2
1947,3,1,2
1947,4,1,2
1947,5,1,2
1947,6,1,2
1947,7,1,2
1947,8,2,4
1947,9,2,4
1947,10,2,4
1947,11,2,4
1947,12,2,4
1948,1,2,4
1948,2,2,4
1948,3,2,4
1948,4,2,4
1948,5,2,4
1948,6,2,4
1948,7,2,4
1948,8,3,3
1948,9,3,3
1948,10,3,3
1948,11,3,3
1948,12,3,3
1949,1,3,3
1949,2,3,3
1949,3,3,3
1949,4,3,3
1949,5,3,3
1949,6,3,3
1949,7,3,3
1949,8,4,2
1949,9,4,2
1949,10,4,2
1949,11,4,2
1949,12,4,2
1950,1,4,2
1950,2,4,2
1950,3,4,2
1950,4,4,2
1950,5,4,2
1950,6,4,2
1950,7,4,2
1950,8,8,1
1950,9,8,1
1950,10,8,1
1950,11,8,1
1950,12,8,1
1951,1,8,1
1951,2,8,1
1951,3,8,1
1951,4,8,1
1951,5,8,1
1951,6,8,1
1951,7,8,1
1951,8,6,9
1951,9,6,9
1951,10,6,9
1951,11,6,9
1951,12,6,9
1952,1,6,9
1952,2,6,9
1952,3,6,9
1952,4,6,9
1952,5,6,9
1952,6,6,9
1952,7,6,9
1952,8,7,8
1952,9,7,8
1952,10,7,8
1952,11,7,8
1952,12,7,8
1953,1,7,8
1953,2,7,8
1953,3,7,8
1953,4,7,8
1953,5,7,8
1953,6,7,8
1953,7,7,8
1953,8,8,7
1953,9,8,7
1953,10,8,7
1953,11,8,7
1953,12,8,7
1954,1,8,7
1954,2,8,7
1954,3,8,7
1954,4,8,7
1954,5,8,7
1954,6,8,7
1954,7,8,7
1954,8,9,6
1954,9,9,6
1954,10,9,6
1954,11,9,6
1954,12,9,6
1955,1,9,6
1955,2,9,6
1955,3,9,6
1955,4,9,6
1955,5,9,6
1955,6,9,6
1955,7,9,6
1955,8,1,2
1955,9,1,2
1955,10,1,2
1955,11,1,2
1955,12,1,2
1956,1,1,2
1956,2,1,2
1956,3,1,2
1956,4,1,2
1956,5,1,2
1956,6,1,2
1956,7,1,2
1956,8,2,4
1956,9,2,4
1956,10,2,4
1956,11,2,4
1956,12,2,4
1957,1,2,4
1957,2,2,4
1957,3,2,4
1957,4,2,4
1957,5,2,4
1957,6,2,4
1957,7,2,4
1957,8,3,3
1957,9,3,3
1957,10,3,3
1957,11,3,3
1957,12,3,3
1958,1,3,3
1958,2,3,3
1958,3,3,3
1958,4,3,3
1958,5,3,3
1958,6,3,3
1958,7,3,3
1958,8,4,2
1958,9,4,2
1958,10,4,2
1958,11,4,2
1958,12,4,2
1959,1,4,2
1959,2,4,2
1959,3,4,2
1959,4,4,2
1959,5,4,2
1959,6,4,2
1959,7,4,2
1959,8,8,1
1959,9,8,1
1959,10,8,1
1959,11,8,1
1959,12,8,1
1960,1,8,1
1960,2,8,1
1960,3,8,1
1960,4,8,1
1960,5,8,1
1960,6,8,1
1960,7,8,1
1960,8,6,9
1960,9,6,9
1960,10,6,9
1960,11,6,9
1960,12,6,9
1961,1,6,9
1961,2,6,9
1961,3,6,9
1961,4,6,9
1961,5,6,9
1961,6,6,9
1961,7,6,9
1961,8,7,8
1961,9,7,8
1961,10,7,8
1961,11,7,8
1961,12,7,8
1962,1,7,8
1962,2,7,8
1962,3,7,8
1962,4,7,8
1962,5,7,8
1962,6,7,8
1962,7,7,8
1962,8,8,7
1962,9,8,7
1962,10,8,7
1962,11,8,7
1962,12,8,7
1963,1,8,7
1963,2,8,7
1963,3,8,7
1963,4,8,7
1963,5,8,7
1963,6,8,7
1963,7,8,7
1963,8,9,6
1963,9,9,6
1963,10,9,6
1963,11,9,6
1963,12,9,6
1964,1,9,6
1964,2,9,6
1964,3,9,6
1964,4,9,6
1964,5,9,6
1964,6,9,6
1964,7,9,6
1964,8,1,2
1964,9,1,2
1964,10,1,2
1964,11,1,2
1964,12,1,2
1965,1,1,2
1965,2,1,2
1965,3,1,2
1965,4,1,2
1965,5,1,2
1965,6,1,2
1965,7,1,2
1965,8,2,4
1965,9,2,4
1965,10,2,4
1965,11,2,4
1965,12,2,4
1966,1,2,4
1966,2,2,4
1966,3,2,4
1966,4,2,4
1966,5,2,4
1966,6,2,4
1966,7,2,4
1966,8,3,3
1966,9,3,3
1966,10,3,3
1966,11,3,3
1966,12,3,3
1967,1,3,3
1967,2,3,3
1967,3,3,3
1967,4,3,3
1967,5,3,3
1967,6,3,3
1967,7,3,3
1967,8,4,2
1967,9,4,2
1967,10,4,2
1967,11,4,2
1967,12,4,2
1968,1,4,2
1968,2,4,2
1968,3,4,2
1968,4,4,2
1968,5,4,2
1968,6,4,2
1968,7,4,2
1968,8,8,1
1968,9,8,1
1968,10,8,1
1968,11,8,1
1968,12,8,1
1969,1,8,1
1969,2,8,1
1969,3,8,1
1969,4,8,1
1969,5,8,1
1969,6,8,1
1969,7,8,1
1969,8,6,9
1969,9,6,9
1969,10,6,9
1969,11,6,9
1969,12,6,9
1970,1,6,9
1970,2,6,9
1970,3,6,9
1970,4,6,9
1970,5,6,9
1970,6,6,9
1970,7,6,9
1970,8,7,8
1970,9,7,8
1970,10,7,8
1970,11,7,8
1970,12,7,8
1971,1,7,8
1971,2,7,8
1971,3,7,8
1971,4,7,8
1971,5,7,8
1971,6,7,8
1971,7,7,8
1971,8,8,7
1971,9,8,7
1971,10,8,7
1971,11,8,7
1971,12,8,7
1972,1,8,7
1972,2,8,7
1972,3,8,7
1972,4,8,7
1972,5,8,7
1972,6,8,7
1972,7,8,7
1972,8,9,6
1972,9,9,6
1972,10,9,6
1972,11,9,6
1972,12,9,6
1973,1,9,6
1973,2,9,6
1973,3,9,6
1973,4,9,6
1973,5,9,6
1973,6,9,6
1973,7,9,6
1973,8,1,2
1973,9,1,2
1973,10,1,2
1973,11,1,2
1973,12,1,2
